OrderId,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount(%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ODR1013,24-04-2025,01-05-2025,CUST493,Richard Hardin,Consumer,PROD3820,Calculator,Office Supplies,West,Maryland,West Pamelaport,3,626,5,1784.1,1337.7,446.4,Credit Card,Cancelled,Rivera LLC,lhardin@johnson.net,10,No,0
ODR1014,26-12-2024,27-12-2024,CUST558,Stephen Santos,Corporate,PROD1698,Rice Bag,Grocery,East,Minnesota,Mariachester,4,3451,0,13804,9756.1,4047.9,Cash,Returned,Reyes PLC,nancynewman@huynh.org,15,No,0
ODR1015,12-04-2024,17-04-2024,CUST319,Kathleen Garcia,Corporate,PROD6178,Headphones,Electronics,West,Minnesota,Charlesside,8,3038,20,19443.2,14789.34,4653.86,Net Banking,Returned,Smith-Davis,ian71@cisneros-martinez.com,29,No,0
ODR1016,29-10-2025,04-11-2025,CUST672,Justin Henderson,Corporate,PROD1136,Pen,Office Supplies,West,Alaska,Edwardville,7,2690,20,15064,10219.68,4844.32,Net Banking,Cancelled,Randolph and Sons,donna82@doyle.com,0,Yes,43
ODR1017,04-10-2024,10-10-2024,CUST354,Nathan Moore,Home Office,PROD8033,Notebook,Office Supplies,West,Utah,Olsonside,9,4001,10,32408.1,24570.68,7837.42,Cash,Pending,Wright-Shea,richardwoods@rogers.com,15,No,0
ODR1018,29-04-2024,01-05-2024,CUST646,Karen Woods,Consumer,PROD2845,Dining Table,Furniture,East,Alaska,North Michellehaven,3,3853,10,10403.1,7682.93,2720.17,Cash,Delivered,Wilson-Howell,maryingram@hunter.info,4,Yes,39
ODR1019,01-04-2024,05-04-2024,CUST543,Marc Pham,Home Office,PROD8107,Calculator,Office Supplies,East,Oklahoma,South Laurenmouth,4,2020,20,6464,4494.13,1969.87,Cash,Pending,"Marsh, Green and Berry",victoria49@hill.info,33,No,0
ODR1020,26-07-2024,28-07-2024,CUST448,Amanda Griffith,Home Office,PROD5594,Sugar,Grocery,East,Michigan,Powellberg,9,426,20,3067.2,2224.25,842.95,Credit Card,Returned,Kim Ltd,amyhunter@mendoza.com,12,No,0
ODR1021,01-07-2025,08-07-2025,CUST960,Erica Hernandez,Home Office,PROD1233,Juice Pack,Grocery,South,Missouri,Port Gabriel,5,1302,0,6510,4261.98,2248.02,Net Banking,Pending,Ramirez-Herman,karen94@smith-nichols.biz,9,Yes,25
ODR1022,10-03-2025,17-03-2025,CUST453,Amy Gardner,Consumer,PROD6028,Laptop,Electronics,South,Oregon,Port Paigestad,1,553,5,525.35,378.56,146.79,Credit Card,Delivered,Duran Group,chavezjoe@oconnor.com,3,Yes,21
ODR1023,22-08-2024,24-08-2024,CUST695,Tina Williams,Corporate,PROD2778,Sugar,Grocery,West,Montana,Martinezhaven,3,3696,10,9979.2,6151.11,3828.09,Credit Card,Delivered,"Herrera, Anderson and Silva",blake17@reyes.com,17,No,0
ODR1024,20-06-2025,24-06-2025,CUST704,Stacy Kelly,Consumer,PROD8102,Pen,Office Supplies,South,Minnesota,East Paulberg,1,163,10,146.7,104.57,42.13,UPI,Pending,Perez-Garcia,hhayes@walton.net,45,No,0
ODR1025,15-04-2025,22-04-2025,CUST391,Mrs. Elizabeth White,Consumer,PROD1318,Calculator,Office Supplies,North,South Dakota,East Henry,7,475,10,2992.5,2186.61,805.89,Cash,Delivered,"Boyd, Hale and Franklin",deanaustin@meyer-cross.com,20,No,0
ODR1026,31-03-2025,01-04-2025,CUST622,Emily Brooks,Corporate,PROD6425,Stapler,Office Supplies,South,North Carolina,Salaschester,4,2836,20,9075.2,7872.24,1202.96,Cash,Cancelled,Robertson-Collins,xbrown@davis-carey.com,13,No,0
ODR1027,23-02-2024,26-02-2024,CUST809,Cody Hendricks,Home Office,PROD9214,Dining Table,Furniture,East,Connecticut,Medinafort,5,4179,20,16716,12731.9,3984.1,UPI,Returned,Khan-Adams,ramireztara@white.com,2,Yes,23
ODR1028,21-06-2025,27-06-2025,CUST660,Elizabeth Gibson,Consumer,PROD5301,Calculator,Office Supplies,West,Delaware,South Scott,6,788,15,4018.8,3193.34,825.46,Cash,Returned,Wright and Sons,michaelgill@wood-tucker.com,2,Yes,31
ODR1029,26-06-2025,29-06-2025,CUST512,Sara Lawrence,Home Office,PROD8683,Study Table,Furniture,North,Minnesota,Lake Debraport,3,2596,20,6230.4,5140.89,1089.51,Credit Card,Delivered,Bond and Sons,shellynelson@anderson.net,1,Yes,41
ODR1030,18-04-2024,22-04-2024,CUST797,Destiny West,Corporate,PROD1817,Mouse,Electronics,North,Nevada,East Christopher,1,1033,15,878.05,732.14,145.91,Cash,Delivered,Castillo-Moore,anthonynixon@nelson-wilson.com,10,No,0
ODR1031,22-06-2024,27-06-2024,CUST556,David Stevenson,Consumer,PROD5659,Pen,Office Supplies,North,New Mexico,Lake Joshuatown,6,2181,5,12431.7,8130.24,4301.46,Credit Card,Delivered,Lewis-Sullivan,davidshelton@smith.com,44,No,0
ODR1032,08-09-2024,11-09-2024,CUST642,Nicole Nash,Home Office,PROD6885,Study Table,Furniture,North,South Carolina,Hayesbury,7,2253,20,12616.8,10970.43,1646.37,Net Banking,Pending,Hale and Sons,markrodriguez@ward.com,9,Yes,50
ODR1033,09-01-2026,16-01-2026,CUST980,Jasmine Brown,Consumer,PROD1670,Dining Table,Furniture,West,Iowa,Lake Kaitlynview,1,4083,10,3674.7,2778.96,895.74,Cash,Cancelled,Wells-Long,johnswesley@french.com,42,No,0
ODR1034,17-05-2025,20-05-2025,CUST358,Mandy Juarez,Corporate,PROD1444,Juice Pack,Grocery,West,Nebraska,South William,6,4730,0,28380,17173.92,11206.08,Cash,Delivered,Davis Ltd,kyoung@patel.com,33,No,0
ODR1035,01-09-2024,07-09-2024,CUST895,Eric Cohen,Corporate,PROD4585,Monitor,Electronics,North,South Dakota,East Jamesland,8,2225,10,16020,12781.48,3238.52,Cash,Returned,Mclean Group,barbertony@williams-davis.biz,14,No,0
ODR1036,24-11-2025,29-11-2025,CUST936,Kristy Lucas,Home Office,PROD5239,Calculator,Office Supplies,South,Arizona,Jeanmouth,4,2913,5,11069.4,8453,2616.4,Cash,Cancelled,"Hanna, King and Bray",petersonrussell@parker.net,12,No,0
ODR1037,06-10-2025,09-10-2025,CUST672,Julie Stevenson,Corporate,PROD2910,File Folder,Office Supplies,South,Missouri,West Daniel,6,4282,10,23122.8,17755.23,5367.57,UPI,Cancelled,"Schroeder, Ford and Santos",parkerjulie@burnett.biz,23,No,0
ODR1038,13-10-2024,20-10-2024,CUST461,Robert Smith DDS,Home Office,PROD2153,Bookshelf,Furniture,South,Maryland,New Brianfurt,8,2800,20,17920,15921.3,1998.7,Cash,Delivered,"Henderson, Williams and Lamb",gthompson@martin-martin.com,2,Yes,21
ODR1039,13-01-2025,19-01-2025,CUST483,Maria Torres,Home Office,PROD7213,Stapler,Office Supplies,West,Montana,Lake Tracey,7,3600,20,20160,16185.38,3974.62,Credit Card,Pending,"Perry, Harding and Bauer",leah46@mckenzie.com,30,No,0
ODR1040,02-03-2024,08-03-2024,CUST419,Jonathan Ponce,Consumer,PROD3524,Cooking Oil,Grocery,West,Kentucky,Port Michelleside,4,1664,0,6656,5091.73,1564.27,Credit Card,Returned,"Martin, Baker and Conner",rosariokeith@bailey.com,31,No,0
ODR1041,27-10-2024,01-11-2024,CUST815,Eric Carter,Consumer,PROD5012,Keyboard,Electronics,North,Alabama,New Melissaborough,6,932,20,4473.6,3578,895.6,Net Banking,Cancelled,Smith-Erickson,hannahbutler@scott-thompson.com,3,Yes,40
ODR1042,09-11-2025,13-11-2025,CUST870,Steven Barker,Consumer,PROD1826,Bookshelf,Furniture,West,Georgia,Milesville,10,653,20,5224,3533.87,1690.13,UPI,Delivered,Sanders-Mckinney,jenniferglass@thomas.biz,50,No,0
ODR1043,19-12-2025,26-12-2025,CUST909,Tyler Oliver,Corporate,PROD8308,Cooking Oil,Grocery,South,New Hampshire,Perkinsfurt,1,4408,20,3526.4,2752.9,773.5,Cash,Cancelled,Adams PLC,guzmanchristopher@taylor.com,30,No,0
ODR1044,09-02-2026,15-02-2026,CUST151,Andrea Robinson,Corporate,PROD6945,Calculator,Office Supplies,West,Virginia,East Thomaschester,8,403,0,3224,2034.44,1189.56,UPI,Pending,Davis-Gonzalez,jimmonroe@gill-sparks.info,47,No,0
ODR1045,29-03-2025,31-03-2025,CUST390,Roger Richardson,Home Office,PROD9671,Mouse,Electronics,North,North Dakota,East Lindsay,10,1333,20,10664,6822.16,3841.84,Credit Card,Pending,Lawson-Marquez,jerrygutierrez@carroll.info,10,No,0
ODR1046,21-10-2024,28-10-2024,CUST298,Kelsey Young,Consumer,PROD9929,Sugar,Grocery,East,Arizona,West Kathleen,1,3622,10,3259.8,2868.44,391.36,Credit Card,Returned,Fischer Group,lriggs@bruce-wright.com,44,No,0
ODR1047,23-07-2025,28-07-2025,CUST740,Michelle Graham,Corporate,PROD8566,Cooking Oil,Grocery,North,Utah,Wrightmouth,3,1777,0,5331,4001.21,1329.79,Cash,Pending,White-Ross,lknight@pearson-davis.net,26,No,0
ODR1048,19-08-2025,25-08-2025,CUST594,Norma Peterson,Corporate,PROD6018,Monitor,Electronics,North,Virginia,Port Crystalland,6,958,0,5748,3472.44,2275.56,UPI,Pending,Henry PLC,kbarajas@mercer-pace.org,22,No,0
ODR1049,12-12-2025,14-12-2025,CUST870,Tammy Daniel,Consumer,PROD6549,Office Chair,Furniture,East,Hawaii,Gilbertside,9,2148,5,18365.4,14225.09,4140.31,Credit Card,Pending,Stone Inc,dschneider@barber.biz,0,Yes,30
ODR1050,19-12-2024,22-12-2024,CUST293,Kimberly Wheeler,Consumer,PROD5225,Rice Bag,Grocery,West,Kentucky,Smithport,7,4175,0,29225,24905.49,4319.51,Cash,Returned,"Spence, Rollins and Castro",martinezstephanie@sanders.biz,13,No,0
ODR1051,30-06-2024,04-07-2024,CUST727,Keith Knapp,Consumer,PROD6647,Laptop,Electronics,West,Arizona,Lake Joshua,4,3970,5,15086,11639.28,3446.72,Net Banking,Cancelled,Heath-Thompson,willisrachel@wilson.com,11,No,0
ODR1052,25-08-2024,28-08-2024,CUST390,Holly Patton,Home Office,PROD7662,Dining Table,Furniture,East,Texas,North Larry,2,507,20,811.2,686.92,124.28,Net Banking,Cancelled,"Grant, Garza and Martinez",callahanaustin@watkins.com,50,No,0
ODR1053,31-07-2024,01-08-2024,CUST970,Kelly Fernandez,Corporate,PROD8727,Study Table,Furniture,East,Missouri,Lake Stevenmouth,3,4190,15,10684.5,7668.53,3015.97,UPI,Cancelled,Johnson-Freeman,josephknight@higgins-baker.com,3,Yes,23
ODR1054,23-10-2024,25-10-2024,CUST191,Jesse Lin,Consumer,PROD2230,Rice Bag,Grocery,North,Arizona,Romanmouth,9,2722,0,24498,17992.96,6505.04,UPI,Delivered,"Stevens, Walker and Mcdonald",jeffrey08@wright.biz,4,Yes,42
ODR1055,06-11-2024,08-11-2024,CUST705,David Fischer,Home Office,PROD5429,Monitor,Electronics,West,Tennessee,North Russellborough,6,1658,0,9948,7888.22,2059.78,Net Banking,Pending,Anderson-Thompson,jamesadams@mcdonald.biz,2,Yes,30
ODR1056,22-07-2025,25-07-2025,CUST161,Sally Rose,Consumer,PROD9706,Rice Bag,Grocery,North,Washington,West Evelyn,3,748,20,1795.2,1224.25,570.95,UPI,Returned,Brown-Torres,zoebraun@pace-castillo.org,9,Yes,37
ODR1057,16-10-2025,18-10-2025,CUST159,Kendra Perez,Home Office,PROD3912,File Folder,Office Supplies,South,Tennessee,Jenniferfurt,8,1296,10,9331.2,6486.55,2844.65,UPI,Cancelled,Moody-Wilson,wrightsara@ramirez.net,27,No,0
ODR1058,12-05-2025,14-05-2025,CUST656,Karen Montgomery,Consumer,PROD8318,Office Chair,Furniture,East,Hawaii,Rossview,10,1860,10,16740,14774.31,1965.69,UPI,Pending,Pollard and Sons,scook@johns.com,8,Yes,31
ODR1059,17-06-2024,20-06-2024,CUST386,Melissa Smith,Consumer,PROD1259,Snacks,Grocery,North,Mississippi,Port David,6,410,15,2091,1316.41,774.59,Credit Card,Pending,"Cooper, Bond and Oconnell",pbowen@silva.com,47,No,0
ODR1060,22-06-2025,29-06-2025,CUST213,Jordan Wood,Corporate,PROD4181,Rice Bag,Grocery,North,Delaware,East Robert,9,4698,10,38053.8,33491.35,4562.45,UPI,Cancelled,Gibson Group,qbranch@watson.com,12,No,0
ODR1061,02-08-2025,08-08-2025,CUST730,Crystal Coleman,Home Office,PROD7390,Dining Table,Furniture,South,New Hampshire,East Cynthia,3,3283,20,7879.2,6875.7,1003.5,Net Banking,Returned,Jones LLC,jennifer67@lopez.net,8,Yes,31
ODR1062,05-01-2026,06-01-2026,CUST642,Abigail Navarro,Home Office,PROD4078,Snacks,Grocery,North,New York,Port Christopherfort,7,3681,15,21901.95,16330.67,5571.28,Net Banking,Pending,Kim-Cain,yblack@padilla-collins.info,4,Yes,20
ODR1063,21-04-2024,28-04-2024,CUST993,Jennifer Garrett,Corporate,PROD6857,Snacks,Grocery,North,South Dakota,Brooksside,10,802,5,7619,6213.16,1405.84,Cash,Pending,Bailey and Sons,wendygeorge@lopez.com,17,No,0
ODR1064,09-06-2025,13-06-2025,CUST534,Robert Guzman,Corporate,PROD7490,Calculator,Office Supplies,North,Indiana,Carlosbury,8,4785,20,30624,23938.04,6685.96,UPI,Returned,"Johnson, Anthony and Miller",brose@garcia.biz,30,No,0
ODR1065,19-07-2025,22-07-2025,CUST636,Sharon Byrd,Consumer,PROD8419,Juice Pack,Grocery,North,Indiana,Shannonview,5,2642,20,10568,8964.9,1603.1,Credit Card,Pending,"Williams, Henderson and Luna",josephglenn@velasquez.net,36,No,0
ODR1066,28-04-2024,30-04-2024,CUST518,Stephanie Everett,Consumer,PROD7767,Bookshelf,Furniture,South,Connecticut,West William,9,227,0,2043,1330.87,712.13,Credit Card,Returned,Duncan and Sons,jaime05@yoder-taylor.net,1,Yes,45
ODR1067,14-10-2025,20-10-2025,CUST962,Dennis Morgan,Home Office,PROD7813,Calculator,Office Supplies,South,Nebraska,New Ryan,1,4677,20,3741.6,2729.66,1011.94,UPI,Pending,Griffin LLC,mackjonathan@goodwin.com,17,No,0
ODR1068,07-06-2024,11-06-2024,CUST500,Ashley Dunn,Consumer,PROD7435,Cooking Oil,Grocery,North,New York,Dennisberg,8,3952,5,30035.2,22106.74,7928.46,Cash,Pending,"Evans, Long and Johnson",ramirezjoshua@clark.org,0,Yes,23
ODR1069,21-12-2025,26-12-2025,CUST757,Alexis Vaughn,Home Office,PROD4260,Stapler,Office Supplies,South,North Dakota,Andersonhaven,2,2394,15,4069.8,2841.49,1228.31,Cash,Returned,"Weeks, Lamb and Ray",mason67@smith-roberts.info,39,No,0
ODR1070,30-04-2025,02-05-2025,CUST781,Megan Pollard,Consumer,PROD5418,Mouse,Electronics,South,Nevada,East Cathy,3,519,5,1479.15,1025.97,453.18,Credit Card,Delivered,"Mejia, Gomez and Thompson",ngomez@salinas.com,28,No,0
ODR1071,29-12-2025,31-12-2025,CUST565,Angela Decker,Home Office,PROD8540,Calculator,Office Supplies,West,New Jersey,Port Thomas,3,4370,20,10488,9368.92,1119.08,Net Banking,Pending,Flores PLC,alexis56@strickland.com,42,No,0
ODR1072,11-10-2024,18-10-2024,CUST289,Tanner Burns,Consumer,PROD7030,Sugar,Grocery,West,Nevada,Simmonshaven,2,4872,10,8769.6,6773.79,1995.81,UPI,Pending,Cordova-Bishop,lawrencechristina@gardner.com,12,No,0
ODR1073,18-06-2024,23-06-2024,CUST546,Mandy Walker,Corporate,PROD3670,Mouse,Electronics,West,Michigan,Elizabethton,7,1834,20,10270.4,7256.12,3014.28,Credit Card,Returned,"Howell, Gillespie and Hayes",williamsjo@young-patel.com,2,Yes,24
ODR1074,09-09-2024,12-09-2024,CUST366,Brandon Martin,Home Office,PROD8937,Stapler,Office Supplies,East,Vermont,Tiffanychester,4,3466,15,11784.4,7878.65,3905.75,UPI,Cancelled,Richardson-Young,whiteheadstephen@beck-walker.info,36,No,0
ODR1075,12-10-2024,17-10-2024,CUST473,Joshua Sanchez,Corporate,PROD4480,Bookshelf,Furniture,West,Massachusetts,Port Katrinaborough,1,827,5,785.65,498.08,287.57,Credit Card,Cancelled,Williams-Greene,harveydaniel@cole.org,9,Yes,30
ODR1076,20-12-2025,23-12-2025,CUST724,William Li,Home Office,PROD9929,Calculator,Office Supplies,North,Iowa,West Jillburgh,3,1084,20,2601.6,2110.09,491.51,UPI,Delivered,"Valdez, Cunningham and Sheppard",mgarza@stevens.com,20,No,0
ODR1077,06-08-2024,07-08-2024,CUST450,Dr. Kimberly Phillips,Home Office,PROD2964,Sofa,Furniture,East,Maryland,Jacksonland,3,4305,5,12269.25,9124.1,3145.15,Cash,Delivered,Garcia and Sons,stephenswilliam@hoffman.net,5,Yes,45
ODR1078,28-03-2025,31-03-2025,CUST754,Jessica Kemp,Corporate,PROD7510,Keyboard,Electronics,North,Florida,North Michael,6,4583,0,27498,17773.66,9724.34,UPI,Delivered,"Williams, Mckinney and Fisher",lwilliams@sanchez.biz,8,Yes,30
ODR1079,10-07-2025,13-07-2025,CUST567,Julia Curry DVM,Corporate,PROD7926,Pen,Office Supplies,East,Missouri,New Donald,10,2799,15,23791.5,17424.42,6367.08,UPI,Cancelled,"Young, Smith and Schmidt",danielscaitlin@gay.com,19,No,0
ODR1080,03-06-2025,10-06-2025,CUST399,Carol Knapp,Consumer,PROD3395,Calculator,Office Supplies,North,Illinois,Mandyview,1,1881,5,1786.95,1093.56,693.39,UPI,Returned,"Leblanc, Davis and Reynolds",justin63@lambert-smith.com,6,Yes,24
ODR1081,04-07-2024,08-07-2024,CUST825,Carolyn Williamson,Home Office,PROD5236,Cooking Oil,Grocery,South,Texas,Terryview,1,3046,0,3046,2699.73,346.27,Net Banking,Pending,Lawson-Velasquez,richardsondwayne@johnson.com,22,No,0
ODR1082,10-06-2025,14-06-2025,CUST417,Peter Schmidt,Corporate,PROD1916,Keyboard,Electronics,East,Rhode Island,North Maria,3,4602,5,13115.7,8332.33,4783.37,Cash,Cancelled,Rodriguez-Martinez,goodwinjoshua@miller.com,1,Yes,21
ODR1083,19-04-2025,20-04-2025,CUST402,Cathy Campbell,Corporate,PROD5054,Cooking Oil,Grocery,South,Alabama,North Annside,9,2109,15,16133.85,12773.31,3360.54,Cash,Pending,"Harris, Chapman and Sullivan",hmendez@hartman.com,47,No,0
ODR1084,07-01-2025,13-01-2025,CUST992,Ashlee Oliver,Home Office,PROD3225,Stapler,Office Supplies,East,Ohio,East Ashley,4,534,20,1708.8,1130.45,578.35,Cash,Cancelled,"Woods, Calhoun and Williams",todd58@hamilton.org,39,No,0
ODR1085,31-05-2025,07-06-2025,CUST818,John Rodriguez,Consumer,PROD5097,Monitor,Electronics,West,Oklahoma,West Jessicaberg,7,1739,0,12173,8980.89,3192.11,Cash,Pending,Lee-Hall,pamela51@barnes-berry.com,37,No,0
ODR1086,24-10-2024,30-10-2024,CUST744,Nicole Brown,Home Office,PROD7952,Snacks,Grocery,North,South Dakota,Clineport,2,4035,10,7263,5628.18,1634.82,Cash,Pending,Crawford Ltd,kiddcatherine@miller-ramirez.com,26,No,0
ODR1087,25-01-2026,26-01-2026,CUST567,Mitchell Taylor,Home Office,PROD9884,Sugar,Grocery,South,Washington,Reedmouth,4,122,5,463.6,371.62,91.98,Net Banking,Pending,Gray-Smith,franklinlaura@harrington.com,48,No,0
ODR1088,26-12-2024,27-12-2024,CUST146,Stephanie Espinoza,Consumer,PROD1163,Juice Pack,Grocery,West,Indiana,South Wayne,9,1555,15,11895.75,9861.45,2034.3,Cash,Delivered,Palmer Inc,youngrandy@hall.com,23,No,0
ODR1089,11-07-2024,16-07-2024,CUST180,Melissa Huerta,Consumer,PROD6794,Snacks,Grocery,North,Iowa,New Brian,4,1320,15,4488,2929.31,1558.69,Cash,Delivered,Ortiz-Garcia,adamspatricia@barron.org,10,No,0
ODR1090,23-08-2024,24-08-2024,CUST914,Ryan Craig,Home Office,PROD2334,Juice Pack,Grocery,North,Iowa,Port Jaredmouth,3,572,5,1630.2,1416.27,213.93,Credit Card,Cancelled,Miller-Yang,heatherjohnson@rose.org,50,No,0
ODR1091,19-11-2024,21-11-2024,CUST884,Samantha Williams,Corporate,PROD2815,Laptop,Electronics,East,Maine,Port William,2,1274,20,2038.4,1815.65,222.75,Cash,Delivered,Rios PLC,woodsmanuel@scott.com,27,No,0
ODR1092,22-09-2024,28-09-2024,CUST100,Jonathan Perez,Consumer,PROD7801,Cooking Oil,Grocery,East,Hawaii,Brownfort,6,2730,5,15561,13359.46,2201.54,Net Banking,Cancelled,Lutz Ltd,jenkinsallison@weaver.org,48,No,0
ODR1093,04-07-2024,09-07-2024,CUST460,Jeffrey Byrd,Consumer,PROD1453,Headphones,Electronics,East,West Virginia,South Seantown,4,274,20,876.8,537.08,339.72,Credit Card,Cancelled,"Hernandez, Nguyen and Bryant",fernandezmichael@page-davis.com,5,Yes,28
ODR1094,10-02-2026,15-02-2026,CUST865,Robert Miller,Consumer,PROD5259,Mouse,Electronics,East,Mississippi,West Sherryburgh,10,4075,20,32600,24842.3,7757.7,Credit Card,Cancelled,Boyd-Hill,juliebooth@hodge-williams.com,39,No,0
ODR1095,01-04-2025,06-04-2025,CUST290,Michael Johnson,Consumer,PROD3058,Laptop,Electronics,North,Maine,Hallville,7,2801,0,19607,17575.86,2031.14,Net Banking,Delivered,Kelly Inc,peggyjenkins@thompson.org,0,Yes,21
ODR1096,13-05-2025,14-05-2025,CUST184,Timothy Daniel,Home Office,PROD6588,Headphones,Electronics,South,Montana,Hallland,4,4929,0,19716,12924.15,6791.85,Credit Card,Delivered,"Santos, Jordan and Wilson",theresa83@malone.com,28,No,0
ODR1097,07-09-2025,14-09-2025,CUST742,Patricia Perkins,Corporate,PROD1997,Stapler,Office Supplies,South,Alaska,New Sarah,8,2647,15,17999.6,12950.81,5048.79,Cash,Cancelled,Willis LLC,andrew21@hickman-hamilton.com,13,No,0
ODR1098,12-02-2026,19-02-2026,CUST952,Sheila Webb,Corporate,PROD9643,Keyboard,Electronics,West,Oklahoma,Port William,5,2274,5,10801.5,7104.28,3697.22,Net Banking,Returned,Farrell PLC,ryan95@atkinson.com,32,No,0
ODR1099,17-03-2024,20-03-2024,CUST910,Mary Sullivan,Corporate,PROD4084,Calculator,Office Supplies,East,Montana,West Patrickside,4,589,5,2238.2,1699.78,538.42,Net Banking,Returned,Armstrong Group,wrodriguez@kemp.com,13,No,0
ODR1100,19-11-2025,20-11-2025,CUST924,Lisa Richards,Corporate,PROD2052,Study Table,Furniture,South,Kansas,Lake Andrewtown,4,3905,20,12496,9436.28,3059.72,Cash,Pending,"Carlson, Kirk and Stewart",josephhill@rose.biz,24,No,0
ODR1101,05-10-2025,11-10-2025,CUST392,Luis Gallagher,Consumer,PROD2639,Cooking Oil,Grocery,North,Virginia,Bethmouth,3,2106,20,5054.4,3897.41,1156.99,UPI,Returned,Sims-Mora,beckrichard@montgomery.com,12,No,0
ODR1102,04-05-2024,05-05-2024,CUST746,Leah Robinson,Consumer,PROD4875,Mouse,Electronics,North,Iowa,Williamport,7,4480,10,28224,17321.16,10902.84,Credit Card,Cancelled,Wilson LLC,ericaclay@montoya.net,3,Yes,25
ODR1103,15-04-2025,18-04-2025,CUST423,Renee Taylor,Consumer,PROD5574,Laptop,Electronics,East,Florida,Leslieshire,5,2352,10,10584,7051.87,3532.13,Net Banking,Pending,Anderson-Brock,thomashall@ward.info,35,No,0
ODR1104,27-04-2025,01-05-2025,CUST313,Elizabeth Jones,Home Office,PROD4925,Headphones,Electronics,East,Hawaii,West Yolandafort,2,2825,5,5367.5,4609.63,757.87,Cash,Cancelled,Green-Hodge,wmitchell@murphy.com,24,No,0
